Date,Time,Latitude,Longitude,Depth,Author
2011/09/18,12:40:45.70,27.7,88.2,20.0,BJI
2011/09/18,12:40:46.90,27.85,88.06,45.9,NDI
2011/09/18,12:40:48.00,27.53,87.97,60.0,NEIC
2011/09/18,12:40:48.90,27.771,88.206,40.0,MOS
2011/09/18,12:40:50.43,27.763,88.141,35.0f,ISC-EHB
2011/09/18,12:40:50.51,27.7707,88.2212,37.0,IDC
2011/09/18,12:40:51.10,27.6897,88.2959,50.0f,DMN
2011/09/18,12:40:51.50,27.86,88.59,15.0,BKK
2011/09/18,12:40:51.80,27.44,88.35,46.0,GCMT
2011/09/18,12:40:51.83,27.73,88.155,50.0f,NEIC
2011/09/18,12:40:51.7198,27.7368,88.1057,50.6702,NLL
